irn,collection_code,collected_year,collected_month,collected_day,decimal_latitude,decimal_longitude,lat_precision,long_precision,date,url,SiteId,Latitude,Longitude,Day,Month,Year,MinSurfaceTemperatureCelsius,MaxSurfaceTemperatureCelsius,AvgSurfaceTemperatureCelsius,MinSurfaceDewpointTemperatureCelsius,MaxSurfaceDewpointTemperatureCelsius,AvgSurfaceDewpointTemperatureCelsius,MinSurfaceWetBulbTemperatureCelsius,MaxSurfaceWetBulbTemperatureCelsius,AvgSurfaceWetBulbTemperatureCelsius,MinRelativeHumidityPercent,MaxRelativeHumidityPercent,AvgRelativeHumidityPercent,MinSurfaceAirPressureKilopascals,MaxSurfaceAirPressureKilopascals,AvgSurfaceAirPressureKilopascals,MinCloudCoveragePercent,MaxCloudCoveragePercent,AvgCloudCoveragePercent,MinWindChillTemperatureCelsius,MaxWindChillTemperatureCelsius,AvgWindChillTemperatureCelsius,MinApparentTemperatureCelsius,MaxApparentTemperatureCelsius,AvgApparentTemperatureCelsius,MinWindSpeedKph,MaxWindSpeedKph,AvgWindSpeedKph,MinWindDirectionDegrees,MaxWindDirectionDegrees,AvgWindDirectionDegrees,MinPrecipitationPreviousHourCentimeters,MaxPrecipitationPreviousHourCentimeters,AvgPrecipitationPreviousHourCentimeters,SumPrecipitationPreviousHourCentimeters,MinDownwardSolarRadiationWsqm,MaxDownwardSolarRadiationWsqm,AvgDownwardSolarRadiationWsqm,SumDownwardSolarRadiationWsqm,MinDiffuseHorizontalRadiationWsqm,MaxDiffuseHorizontalRadiationWsqm,AvgDiffuseHorizontalRadiationWsqm,SumDiffuseHorizontalRadiationWsqm,MinDirectNormalIrradianceWsqm,MaxDirectNormalIrradianceWsqm,AvgDirectNormalIrradianceWsqm,SumDirectNormalIrradianceWsqm,MinMslPressureKilopascals,MaxMslPressureKilopascals,AvgMslPressureKilopascals,MinHeatIndexCelsius,MaxHeatIndexCelsius,AvgHeatIndexCelsius,MinSnowfallCentimeters,MaxSnowfallCentimeters,AvgSnowfallCentimeters,SumSnowfallCentimeters,MinSurfaceWindGustsKph,MaxSurfaceWindGustsKph,AvgSurfaceWindGustsKph,MinPotentialEvapotranspirationMicrometersPerHour,MaxPotentialEvapotranspirationMicrometersPerHour,AvgPotentialEvapotranspirationMicrometersPerHour,MinSurfaceWaterRunOffMillimeters,MaxSurfaceWaterRunOffMillimeters,AvgSurfaceWaterRunOffMillimeters,SumSurfaceWaterRunOffMillimeters,MinTenToFortyLiquidSoilMoisturePercent,MaxTenToFortyLiquidSoilMoisturePercent,AvgTenToFortyLiquidSoilMoisturePercent,MinTenToFortySoilTemperatureCelsius,MaxTenToFortySoilTemperatureCelsius,AvgTenToFortySoilTemperatureCelsius,MinZeroToTenLiquidSoilMoisturePercent,MaxZeroToTenLiquidSoilMoisturePercent,AvgZeroToTenLiquidSoilMoisturePercent,MinZeroToTenSoilTemperatureCelsius,MaxZeroToTenSoilTemperatureCelsius,AvgZeroToTenSoilTemperatureCelsius,MinFortyToOneHundredLiquidSoilMoisturePercent,MaxFortyToOneHundredLiquidSoilMoisturePercent,AvgFortyToOneHundredLiquidSoilMoisturePercent,MinFortyToOneHundredSoilTemperatureCelsius,MaxFortyToOneHundredSoilTemperatureCelsius,AvgFortyToOneHundredSoilTemperatureCelsius,kmDiff
4770704,BOT,1980,3,12,49.18772021,49.18772021,12,12,12/03/1980,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2263231,BOT,1981,9,17,48.73997451,-2.940516472,12,12,17/09/1981,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4243703,BOT,1983,6,30,27.57055473,85.40666962,12,12,30/06/1983,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8173439,ZOO,2016,8,29,15.23708333,-14.74256667,12,11,29/08/2016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8173558,ZOO,2016,8,31,15.26166667,-14.7181,12,4,31/08/2016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1209829,BOT,1985,9,11,53.15698758,-9.075951576,11,12,11/09/1985,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4881051,BOT,1986,8,22,49.47063405,-2.441539764,11,12,22/08/1986,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1210742,BOT,1988,3,19,53.15698758,-9.075951576,11,12,19/03/1988,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4715843,BOT,2001,9,20,53.80042271,-9.951896667,11,11,20/09/2001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
738079,BOT,2004,9,14,54.8416292,-8.463935852,11,11,14/09/2004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2807794,ZOO,1979,1,25,0.794833333,-86.129,9,3,25/01/1979,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8086793,BOT,1979,6,2,-1.516666667,-59.83333333,9,8,02/06/1979,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7997689,BOT,1979,6,10,-3.324152506,-65.4934101,9,7,10/06/1979,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2958447,ZOO,1980,1,23,7.516666667,19.81666667,9,8,23/01/1980,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2237155,ZOO,1980,7,29,4.661111111,7.155555556,9,9,29/07/1980,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
708325,BOT,1981,5,21,6.416666667,147.3333333,9,7,21/05/1981,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2635233,ZOO,1981,7,28,8.516666667,-60.58333333,9,8,28/07/1981,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
